score,active_calories,high_activity_time,low_activity_time,medium_activity_time,resting_time,steps,total_calories,day,timestamp,activity_time,pct_activitytime,pct_steps
96.0,529,0,10320,6660,20280,13166,2205,2021-08-28,2021-08-28T04:00:00,16980,,
86.0,136,60,5400,1620,39840,3747,1742,2021-08-29,2021-08-29T04:00:00,7080,-0.5830388692579505,-0.715403311560079
91.0,457,120,12060,4080,34380,12070,2112,2021-08-30,2021-08-30T04:00:00,16260,1.2966101694915255,2.221243661595943
89.0,124,0,6960,1200,41340,3745,1733,2021-08-31,2021-08-31T04:00:00,8160,-0.4981549815498155,-0.6897265948632973
90.0,500,0,7440,8040,35460,14245,2165,2021-09-01,2021-09-01T04:00:00,15480,0.8970588235294117,2.803738317757009
91.0,542,0,10080,6780,36900,13962,2207,2021-09-02,2021-09-02T04:00:00,16860,0.08914728682170536,-0.01986661986661986
90.0,385,0,14760,3780,35100,11404,2089,2021-09-03,2021-09-03T04:00:00,18540,0.0996441281138789,-0.1832115742730268
88.0,440,0,9240,6720,39660,11518,2083,2021-09-04,2021-09-04T04:00:00,15960,-0.13915857605177995,0.00999649245878631
86.0,555,360,12120,6300,40260,14157,2209,2021-09-05,2021-09-05T04:00:00,18780,0.17669172932330834,0.22911963882618513
83.0,540,60,15420,5100,36480,14189,2243,2021-09-06,2021-09-06T04:00:00,20580,0.09584664536741205,0.0022603658967295104
77.0,298,0,12120,3060,34680,6674,1968,2021-09-07,2021-09-07T04:00:00,15180,-0.26239067055393583,-0.5296356332370146
91.0,384,120,12060,4440,36720,9995,2058,2021-09-08,2021-09-08T04:00:00,16620,0.09486166007905128,0.49760263709919084
84.0,217,120,12960,900,36720,5717,1857,2021-09-09,2021-09-09T04:00:00,13980,-0.15884476534296033,-0.4280140070035018
84.0,396,0,15300,4200,30000,11620,2110,2021-09-10,2021-09-10T04:00:00,19500,0.3948497854077253,1.032534546090607
92.0,505,240,10680,5760,43380,12920,2135,2021-09-11,2021-09-11T04:00:00,16680,-0.1446153846153846,0.11187607573149738
85.0,432,60,11700,5400,36120,10643,2111,2021-09-12,2021-09-12T04:00:00,17160,0.02877697841726623,-0.17623839009287923
84.0,567,60,13920,6480,38760,13378,2244,2021-09-13,2021-09-13T04:00:00,20460,0.1923076923076923,0.25697641642394053
86.0,490,60,7920,5940,39060,11457,2137,2021-09-14,2021-09-14T04:00:00,13920,-0.3196480938416423,-0.1435939602332187
74.0,278,0,8400,3240,36000,7099,1918,2021-09-15,2021-09-15T04:00:00,11640,-0.1637931034482759,-0.3803788077158069
91.0,476,0,8280,5700,39960,11849,2097,2021-09-16,2021-09-16T04:00:00,13980,0.2010309278350515,0.6691083251162135
94.0,529,0,12300,7500,33960,12041,2222,2021-09-17,2021-09-17T04:00:00,19800,0.41630901287553645,0.01620389906321207
93.0,811,1440,13500,8820,29040,19333,2540,2021-09-18,2021-09-18T04:00:00,23760,0.19999999999999996,0.6055975417324142
85.0,195,0,5460,2040,39180,5606,1817,2021-09-19,2021-09-19T04:00:00,7500,-0.6843434343434344,-0.7100294832669529
95.0,469,0,12000,4920,38820,11995,2136,2021-09-20,2021-09-20T04:00:00,16920,1.2559999999999998,1.139671780235462
96.0,492,0,14580,4200,37320,12887,2151,2021-09-21,2021-09-21T04:00:00,18780,0.10992907801418439,0.07436431846602742
95.0,462,60,13380,5340,35280,12941,2151,2021-09-22,2021-09-22T04:00:00,18780,0.0,0.004190269263598889
90.0,166,0,9720,960,42240,4516,1787,2021-09-23,2021-09-23T04:00:00,10680,-0.4313099041533547,-0.6510316049764315
98.0,724,0,12840,9840,37200,18469,2406,2021-09-24,2021-09-24T04:00:00,22680,1.1235955056179776,3.0896811337466783
92.0,427,0,15720,4140,38460,11774,2096,2021-09-25,2021-09-25T04:00:00,19860,-0.1243386243386243,-0.3624993231902106
94.0,514,1620,12600,2520,38100,11387,2185,2021-09-26,2021-09-26T04:00:00,16740,-0.1570996978851964,-0.032869033463563735
93.0,383,0,14940,3540,39300,10600,2055,2021-09-27,2021-09-27T04:00:00,18480,0.10394265232974909,-0.06911390181786248
98.0,701,0,15300,7680,38880,17228,2391,2021-09-28,2021-09-28T04:00:00,22980,0.24350649350649345,0.6252830188679246
95.0,575,0,9720,7200,36000,14072,2245,2021-09-29,2021-09-29T04:00:00,16920,-0.26370757180156656,-0.18319015556071516
97.0,499,0,14760,5940,37080,14358,2173,2021-09-30,2021-09-30T04:00:00,20700,0.22340425531914887,0.020324047754405994
92.0,722,1440,13140,7320,36000,17477,2421,2021-10-01,2021-10-01T04:00:00,21900,0.05797101449275366,0.2172308120908204
92.0,475,60,14700,5580,39720,12095,2147,2021-10-02,2021-10-02T04:00:00,20340,-0.07123287671232881,-0.3079475882588545
86.0,339,0,8880,4740,39180,9469,1985,2021-10-03,2021-10-03T04:00:00,13620,-0.3303834808259587,-0.21711451012815208
97.0,491,0,12420,5280,40620,12515,2132,2021-10-04,2021-10-04T04:00:00,17700,0.2995594713656389,0.32168127574189453
91.0,53,0,4320,120,46980,1483,1620,2021-10-05,2021-10-05T04:00:00,4440,-0.7491525423728813,-0.8815021973631643
84.0,217,0,11040,1800,30780,6361,1864,2021-10-06,2021-10-06T04:00:00,12840,1.891891891891892,3.289278489548213
86.0,130,0,7380,1080,45780,3221,1741,2021-10-07,2021-10-07T04:00:00,8460,-0.3411214953271028,-0.4936330765602892
74.0,194,0,11460,1320,31500,5228,1872,2021-10-08,2021-10-08T04:00:00,12780,0.5106382978723405,0.6230984166407947
