bpm,timestamp
74,2022-03-02
80,2022-03-02
77,2022-03-02
88,2022-03-02
85,2022-03-02
91,2022-03-02
72,2022-03-02
83,2022-03-02
77,2022-03-02
60,2022-03-02
67,2022-03-02
69,2022-03-02
75,2022-03-02
80,2022-03-02
78,2022-03-02
75,2022-03-02
77,2022-03-02
81,2022-03-02
76,2022-03-02
78,2022-03-02
80,2022-03-02
85,2022-03-02
82,2022-03-02
81,2022-03-02
82,2022-03-02
78,2022-03-02
82,2022-03-02
75,2022-03-02
89,2022-03-02
79,2022-03-02
84,2022-03-02
74,2022-03-02
70,2022-03-02
77,2022-03-02
75,2022-03-02
71,2022-03-02
69,2022-03-02
77,2022-03-02
74,2022-03-02
70,2022-03-02
76,2022-03-02
73,2022-03-02
70,2022-03-02
75,2022-03-02
78,2022-03-02
70,2022-03-02
72,2022-03-02
80,2022-03-02
69,2022-03-02
67,2022-03-02
62,2022-03-02
67,2022-03-02
61,2022-03-02
63,2022-03-02
58,2022-03-02
61,2022-03-02
69,2022-03-02
86,2022-03-02
67,2022-03-02
58,2022-03-02
62,2022-03-02
75,2022-03-02
69,2022-03-02
71,2022-03-02
67,2022-03-02
62,2022-03-02
68,2022-03-02
64,2022-03-02
70,2022-03-02
75,2022-03-02
60,2022-03-02
68,2022-03-02
63,2022-03-02
64,2022-03-02
63,2022-03-02
68,2022-03-02
66,2022-03-02
74,2022-03-02
61,2022-03-02
63,2022-03-03
59,2022-03-03
67,2022-03-03
73,2022-03-03
79,2022-03-03
77,2022-03-03
79,2022-03-03
75,2022-03-03
82,2022-03-03
68,2022-03-03
72,2022-03-03
73,2022-03-03
66,2022-03-03
63,2022-03-03
69,2022-03-03
60,2022-03-03
61,2022-03-03
59,2022-03-03
70,2022-03-03
73,2022-03-03
78,2022-03-03
67,2022-03-03
71,2022-03-03
63,2022-03-03
82,2022-03-03
78,2022-03-03
72,2022-03-03
80,2022-03-03
76,2022-03-03
79,2022-03-03
73,2022-03-03
69,2022-03-03
64,2022-03-03
62,2022-03-03
65,2022-03-03
68,2022-03-03
70,2022-03-03
62,2022-03-03
67,2022-03-03
69,2022-03-03
79,2022-03-03
73,2022-03-03
70,2022-03-03
61,2022-03-03
63,2022-03-03
65,2022-03-03
62,2022-03-03
68,2022-03-03
59,2022-03-03
65,2022-03-03
62,2022-03-03
66,2022-03-03
60,2022-03-03
63,2022-03-03
62,2022-03-03
58,2022-03-03
56,2022-03-03
76,2022-03-03
81,2022-03-03
80,2022-03-03
66,2022-03-03
73,2022-03-03
76,2022-03-03
85,2022-03-03
81,2022-03-03
83,2022-03-03
81,2022-03-03
91,2022-03-03
84,2022-03-03
82,2022-03-03
85,2022-03-03
85,2022-03-03
71,2022-03-03
77,2022-03-03
84,2022-03-03
76,2022-03-03
82,2022-03-03
79,2022-03-03
77,2022-03-03
72,2022-03-03
73,2022-03-03
76,2022-03-03
74,2022-03-03
72,2022-03-03
67,2022-03-03
72,2022-03-03
70,2022-03-03
73,2022-03-03
69,2022-03-03
75,2022-03-03
65,2022-03-03
68,2022-03-03
62,2022-03-03
69,2022-03-03
66,2022-03-03
63,2022-03-03
66,2022-03-03
71,2022-03-03
64,2022-03-03
69,2022-03-03
66,2022-03-03
61,2022-03-03
78,2022-03-03
69,2022-03-03
70,2022-03-03
72,2022-03-03
67,2022-03-03
60,2022-03-04
57,2022-03-04
62,2022-03-04
75,2022-03-04
70,2022-03-04
69,2022-03-04
69,2022-03-04
77,2022-03-04
61,2022-03-04
66,2022-03-04
75,2022-03-04
64,2022-03-04
73,2022-03-04
62,2022-03-04
67,2022-03-04
66,2022-03-04
60,2022-03-04
68,2022-03-04
67,2022-03-04
63,2022-03-04
76,2022-03-04
63,2022-03-04
61,2022-03-04
68,2022-03-04
63,2022-03-04
62,2022-03-04
70,2022-03-04
86,2022-03-04
79,2022-03-04
82,2022-03-04
82,2022-03-04
79,2022-03-04
80,2022-03-04
77,2022-03-04
83,2022-03-04
85,2022-03-04
75,2022-03-04
79,2022-03-04
83,2022-03-04
73,2022-03-04
76,2022-03-04
79,2022-03-04
83,2022-03-04
80,2022-03-04
76,2022-03-04
85,2022-03-04
87,2022-03-04
88,2022-03-04
76,2022-03-04
71,2022-03-04
80,2022-03-04
78,2022-03-04
82,2022-03-04
73,2022-03-04
82,2022-03-04
92,2022-03-04
84,2022-03-04
71,2022-03-04
78,2022-03-04
83,2022-03-04
81,2022-03-04
78,2022-03-04
75,2022-03-04
71,2022-03-04
74,2022-03-04
79,2022-03-04
69,2022-03-04
76,2022-03-04
73,2022-03-04
83,2022-03-04
72,2022-03-04
65,2022-03-04
71,2022-03-04
62,2022-03-04
70,2022-03-04
74,2022-03-04
67,2022-03-04
66,2022-03-04
70,2022-03-04
73,2022-03-04
65,2022-03-04
68,2022-03-04
70,2022-03-04
67,2022-03-04
