summary_date,bedtime_end,bedtime_start,duration,total,awake,rem,deep,light,efficiency,restless,onset_latency,hr_average,hr_lowest,rmssd,score,bedtime_start_delta,bedtime_end_delta,temperature_delta,pct_hr_avrage
2021-08-28,2021-08-29T07:43:43,2021-08-28T22:43:43,32400,28260,4140,5670,7080,15510,87,50,420,57.93,50.0,75,80,-4577,27823,0.02,
2021-08-29,2021-08-30T07:17:52,2021-08-29T21:22:52,35700,30270,5430,3480,5910,20880,85,48,930,61.21,50.0,60,82,-9428,26272,-0.27,0.0566200586915242
2021-08-30,2021-08-31T08:05:18,2021-08-30T22:03:18,36120,30090,6030,5280,6720,18090,83,42,540,54.47,48.0,82,83,-7002,29118,-0.33,-0.11011272667864735
2021-08-31,2021-09-01T06:31:31,2021-08-31T21:32:31,32340,26010,6330,3420,6720,15870,80,41,1530,57.8,51.0,75,74,-8849,23491,0.14,0.06113456948779139
2021-09-01,2021-09-02T07:37:04,2021-09-01T21:31:04,36360,32160,4200,6750,7050,18360,88,41,630,56.65,49.0,73,91,-8936,27424,-0.07,-0.019896193771626325
2021-09-02,2021-09-03T07:54:17,2021-09-02T21:15:17,38340,34290,4050,9750,5280,19260,89,46,600,55.65,49.0,74,90,-9883,28457,-0.04,-0.017652250661959412
2021-09-03,2021-09-04T09:00:08,2021-09-03T22:34:08,37560,29700,7860,5640,4980,19080,79,43,690,59.55,52.0,65,78,-5152,32408,-0.23,0.07008086253369261
2021-09-04,2021-09-05T08:27:33,2021-09-04T22:38:33,35340,29070,6270,6750,4680,17640,82,41,1560,60.93,52.0,70,79,-4887,30453,-0.06,0.023173803526448378
2021-09-05,2021-09-06T07:36:40,2021-09-05T21:25:40,36660,31410,5250,8430,5340,17640,86,41,1350,61.32,53.0,65,87,-9260,27400,0.3,0.006400787789266449
2021-09-06,2021-09-07T07:36:22,2021-09-06T21:37:22,35940,31110,4830,7530,5250,18330,87,46,1230,60.17,53.0,61,88,-8558,27382,0.22,-0.01875407697325504
2021-09-07,2021-09-08T07:01:59,2021-09-07T21:35:59,33960,27870,6090,5190,5160,17520,82,46,2160,59.74,52.0,70,74,-8641,25319,-0.01,-0.007146418480970529
2021-09-08,2021-09-09T07:22:09,2021-09-08T21:35:09,35220,30510,4710,6510,5850,18150,87,50,360,58.55,51.0,72,85,-8691,26529,0.19,-0.019919651824573226
2021-09-09,2021-09-10T07:57:44,2021-09-09T21:34:44,37380,33570,3810,6480,6000,21090,90,46,780,57.08,51.0,74,91,-8716,28664,-0.08,-0.02510674637062338
2021-09-10,2021-09-11T09:15:46,2021-09-10T23:44:46,34260,28920,5340,4020,6360,18540,84,46,480,61.87,53.0,76,74,-914,33346,0.04,0.08391730903994388
2021-09-11,2021-09-12T07:40:01,2021-09-11T22:06:01,34440,30420,4020,6270,5310,18840,88,50,1320,58.75,51.0,71,86,-6839,27601,0.31,-0.050428317439793036
