activity,calories,day,distance,intensity
walking,223.15,2021-08-28,,hard
stretching,8.866,2021-08-28,,moderate
walking,139.45000000000002,2021-08-28,,moderate
walking,44.624,2021-08-29,,moderate
walking,245.465,2021-08-30,,hard
stretching,11.284,2021-08-30,,moderate
walking,36.257000000000005,2021-08-31,,moderate
walking,44.624,2021-09-01,,moderate
walking,131.083,2021-09-01,,moderate
walking,78.092,2021-09-01,,moderate
walking,30.679000000000002,2021-09-02,,moderate
walking,30.679000000000002,2021-09-02,,moderate
walking,55.78,2021-09-02,,moderate
walking,249.928,2021-09-02,,hard
stretching,11.284,2021-09-02,,moderate
walking,125.50500000000001,2021-09-04,,moderate
walking,94.82600000000001,2021-09-04,,moderate
walking,80.881,2021-09-04,,moderate
walking,44.624,2021-09-05,,moderate
walking,160.668,2021-09-05,,hard
walking,47.413000000000004,2021-09-05,,moderate
walking,27.89,2021-09-06,,moderate
walking,236.53900000000002,2021-09-06,,hard
walking,27.89,2021-09-07,,moderate
walking,69.72500000000001,2021-09-07,,moderate
walking,39.046,2021-09-08,,moderate
walking,52.991,2021-09-08,,moderate
walking,33.468,2021-09-08,,moderate
walking,61.358000000000004,2021-09-08,,moderate
walking,33.468,2021-09-10,,moderate
walking,30.679000000000002,2021-09-10,,moderate
other,114.034,2021-09-11,,moderate
other,109.07600000000001,2021-09-11,,moderate
walking,72.51400000000001,2021-09-12,,moderate
walking,111.56,2021-09-12,,moderate
walking,27.89,2021-09-13,,moderate
walking,27.89,2021-09-13,,moderate
walking,245.465,2021-09-13,,hard
stretching,11.284,2021-09-13,,moderate
walking,80.881,2021-09-14,,moderate
walking,27.89,2021-09-14,,moderate
walking,223.15,2021-09-14,,hard
stretching,9.92,2021-09-14,,hard
walking,13.945,2021-09-15,,moderate
walking,13.945,2021-09-15,,moderate
walking,13.945,2021-09-15,,moderate
walking,13.945,2021-09-15,,moderate
walking,227.613,2021-09-16,,hard
stretching,4.96,2021-09-16,,hard
walking,55.78,2021-09-16,,moderate
walking,27.89,2021-09-17,,moderate
walking,27.89,2021-09-17,,moderate
walking,58.569,2021-09-17,,moderate
walking,178.496,2021-09-17,,moderate
walking,64.147,2021-09-18,,moderate
walking,64.147,2021-09-18,,moderate
houseWork,9.92,2021-09-18,,easy
running,190.89,2021-09-18,,easy
flexibility,26.955,2021-09-18,,hard
walking,66.936,2021-09-18,,moderate
walking,30.679000000000002,2021-09-20,,moderate
flexibility,26.955,2021-09-20,,hard
walking,254.391,2021-09-21,,hard
walking,55.78,2021-09-22,,moderate
walking,47.413000000000004,2021-09-22,,moderate
walking,196.372,2021-09-24,,hard
walking,50.202000000000005,2021-09-24,,moderate
walking,44.624,2021-09-25,,moderate
running,179.982,2021-09-26,,easy
flexibility,26.955,2021-09-26,,hard
walking,33.468,2021-09-26,,moderate
walking,33.468,2021-09-27,,moderate
walking,33.468,2021-09-28,,moderate
walking,33.468,2021-09-28,,moderate
walking,241.002,2021-09-28,,hard
flexibility,32.346,2021-09-28,,hard
houseWork,23.808,2021-09-29,,easy
walking,33.468,2021-09-29,,moderate
walking,33.468,2021-09-29,,moderate
walking,241.002,2021-09-29,,hard
walking,39.046,2021-09-29,,moderate
walking,52.991,2021-09-30,,moderate
running,185.43599999999998,2021-10-01,,easy
walking,72.51400000000001,2021-10-01,,moderate
houseWork,100.40400000000001,2021-10-01,,hard
strengthTraining,44.63,2021-10-02,,hard
walking,80.881,2021-10-02,,moderate
walking,108.771,2021-10-03,,moderate
walking,241.002,2021-10-04,,hard
walking,50.202000000000005,2021-10-04,,moderate
walking,44.624,2021-10-07,,moderate
walking,44.624,2021-10-09,,moderate
walking,108.771,2021-10-09,,moderate
walking,33.468,2021-10-09,,moderate
walking,44.624,2021-10-09,,moderate
walking,27.89,2021-10-11,,moderate
walking,27.89,2021-10-11,,moderate
walking,245.465,2021-10-11,,hard
walking,55.78,2021-10-12,,moderate
walking,55.78,2021-10-13,,moderate
walking,122.71600000000001,2021-10-14,,moderate
walking,52.991,2021-10-14,,moderate
houseWork,57.504,2021-10-15,,moderate
houseWork,34.143,2021-10-15,,moderate
walking,22.312,2021-10-15,,moderate
walking,22.312,2021-10-15,,moderate
running,223.61399999999998,2021-10-15,,easy
walking,64.147,2021-10-16,,moderate
walking,161.762,2021-10-17,,moderate
strengthTraining,59.505,2021-10-17,,moderate
houseWork,68.286,2021-10-17,,moderate
houseWork,68.286,2021-10-17,,moderate
walking,131.083,2021-10-17,,moderate
houseWork,34.143,2021-10-18,,moderate
walking,50.202000000000005,2021-10-18,,moderate
walking,41.835,2021-10-19,,moderate
walking,27.89,2021-10-20,,moderate
walking,27.89,2021-10-20,,moderate
walking,241.002,2021-10-20,,hard
walking,39.046,2021-10-23,,moderate
walking,44.624,2021-10-23,,moderate
walking,55.78,2021-10-23,,moderate
walking,172.918,2021-10-24,,moderate
walking,47.413000000000004,2021-10-24,,moderate
walking,78.092,2021-10-25,,moderate
walking,36.257000000000005,2021-10-26,,moderate
walking,36.257000000000005,2021-10-26,,moderate
walking,64.147,2021-10-26,,moderate
walking,27.89,2021-10-27,,moderate
walking,27.89,2021-10-27,,moderate
running,190.89,2021-10-27,3647.1890830142183,easy
walking,33.468,2021-10-28,505.03899317444245,moderate
walking,33.468,2021-10-28,486.27233871603454,moderate
walking,41.835,2021-10-28,486.7257857358687,moderate
walking,236.53900000000002,2021-10-29,5302.751348706714,hard
walking,27.89,2021-10-30,536.7992201050155,moderate
houseWork,52.991,2021-10-31,0.0,hard
walking,39.046,2021-11-01,804.6029136431927,moderate
walking,52.991,2021-11-02,938.5676756471446,moderate
houseWork,34.143,2021-11-02,8.302300523179385,moderate
walking,103.19300000000001,2021-11-07,39.67107375575469,moderate
houseWork,29.759999999999998,2021-11-08,421.44079404335247,easy
walking,100.40400000000001,2021-11-08,2516.3452556618586,moderate
walking,236.53900000000002,2021-11-09,5265.518973737242,hard
walking,69.72500000000001,2021-11-09,1475.0428762140277,moderate
houseWork,37.737,2021-11-10,0.0,moderate
walking,92.037,2021-11-10,2396.2405763235943,moderate
walking,232.076,2021-11-11,5354.919217026318,hard
walking,52.991,2021-11-11,1153.015997980464,moderate
houseWork,161.73,2021-11-11,39.56143933888156,moderate
walking,119.927,2021-11-12,595.2236883258753,moderate
walking,58.569,2021-11-13,342.52085544180204,moderate
walking,44.624,2021-11-15,1164.3963111884696,moderate
houseWork,52.113,2021-11-17,0.0,moderate
walking,41.835,2021-11-19,480.30172103227966,moderate
walking,245.465,2021-11-22,5378.096608235873,hard
flexibility,17.97,2021-11-22,15.389249542335385,hard
strengthTraining,44.63,2021-11-23,0.0,hard
walking,75.303,2021-11-24,1366.0954457530038,moderate
walking,117.138,2021-11-24,1540.7874521224394,moderate
houseWork,25.792,2021-11-25,57.02969793371669,easy
walking,30.679000000000002,2021-11-25,854.2156047686797,moderate
walking,181.285,2021-11-26,667.166152391113,moderate
walking,44.624,2021-11-26,1198.723653977868,moderate
walking,66.936,2021-11-27,0.0,moderate
walking,122.71600000000001,2021-11-27,1370.1979167644847,moderate
walking,61.358000000000004,2021-11-28,1718.4633938064717,moderate
walking,72.51400000000001,2021-11-28,706.8634181631896,moderate
houseWork,41.330999999999996,2021-11-29,0.0,moderate
walking,66.936,2021-11-29,1439.8424384556488,moderate
walking,50.202000000000005,2021-12-01,1265.2563764575507,moderate
walking,69.72500000000001,2021-12-01,1499.4703343690999,moderate
walking,27.89,2021-12-02,157.94309013321717,moderate
walking,27.89,2021-12-02,319.4951659952567,moderate
walking,52.991,2021-12-02,1422.681482163802,moderate
walking,80.881,2021-12-04,1983.4555034914608,moderate
walking,236.53900000000002,2021-12-05,4893.8291785436295,hard
walking,44.624,2021-12-05,1326.664056056427,moderate
strengthTraining,44.63,2021-12-06,0.0,hard
walking,61.358000000000004,2021-12-06,1563.3360830011338,moderate
walking,50.202000000000005,2021-12-07,1321.982208360253,moderate
walking,39.046,2021-12-07,1074.0299355240954,moderate
walking,218.687,2021-12-08,4863.577393770857,hard
walking,58.569,2021-12-09,1332.2837595938158,moderate
walking,245.465,2021-12-09,5548.915032085003,hard
strengthTraining,44.63,2021-12-09,0.0,hard
running,304.991,2021-12-10,3625.413715087628,moderate
walking,33.468,2021-12-10,966.7496284114134,moderate
walking,61.358000000000004,2021-12-12,1096.8837763365223,moderate
walking,263.317,2021-12-12,5465.600246940713,hard
walking,249.928,2021-12-13,5383.1184681895975,hard
strengthTraining,44.63,2021-12-13,0.0,hard
running,288.505,2021-12-14,3501.189324411759,moderate
walking,44.624,2021-12-15,1242.644126393543,moderate
walking,44.624,2021-12-15,1326.0921392265184,moderate
walking,39.046,2021-12-15,597.1788723398727,moderate
walking,245.465,2021-12-16,5426.214051574163,hard
walking,33.468,2021-12-17,1088.8292524386302,moderate
walking,94.82600000000001,2021-12-17,1959.5017294527897,moderate
houseWork,89.28,2021-12-18,142.57393007825334,easy
walking,241.002,2021-12-20,5427.940035377514,hard
walking,245.465,2021-12-21,5465.561484267332,hard
strengthTraining,47.604,2021-12-21,0.0,moderate
walking,206.38600000000002,2021-12-23,5758.907184717711,moderate
walking,122.71600000000001,2021-12-26,2790.6130953669053,moderate
walking,245.465,2021-12-28,5589.216829907766,hard
walking,66.936,2021-12-29,1892.8739863747899,moderate
walking,47.413000000000004,2021-12-30,680.3202125208131,moderate
walking,69.72500000000001,2021-12-30,1924.8863079710807,moderate
houseWork,161.73,2021-12-31,74.31211083203536,moderate
walking,44.624,2021-12-31,792.8775187901199,moderate
crossCountrySkiing,483.46999999999997,2022-01-02,8626.212430215784,moderate
crossCountrySkiing,304.95799999999997,2022-01-02,4377.010469566037,moderate
downhillSkiing,453.72,2022-01-05,10393.72860741534,moderate
downhillSkiing,226.86,2022-01-05,7583.6487123614925,moderate
crossCountrySkiing,490.90799999999996,2022-01-06,7231.63029727861,moderate
crossCountrySkiing,766.1139999999999,2022-01-07,10999.111888667909,moderate
crossCountrySkiing,312.396,2022-01-07,3396.5453589545345,moderate
walking,92.037,2022-01-09,2167.9480456843935,moderate
walking,69.72500000000001,2022-01-10,1775.232854705155,moderate
walking,169.594,2022-01-10,2346.6067490622063,hard
walking,223.15,2022-01-11,5363.409043690992,hard
strengthTraining,47.604,2022-01-11,0.0,moderate
walking,27.89,2022-01-11,0.0,moderate
walking,64.147,2022-01-11,1125.2933608659373,moderate
running,185.43599999999998,2022-01-12,3633.851232914312,easy
houseWork,107.82,2022-01-12,590.1114226574095,moderate
walking,27.89,2022-01-12,308.2818360756351,moderate
walking,245.465,2022-01-13,5407.141192226931,hard
strengthTraining,47.604,2022-01-13,11.736126092764483,moderate
walking,78.092,2022-01-13,1311.9596105586425,moderate
walking,27.89,2022-01-14,98.54561444674785,moderate
walking,27.89,2022-01-14,805.4654138251722,moderate
walking,97.61500000000001,2022-01-18,2088.802678120718,moderate
walking,52.991,2022-01-21,1525.2247174380577,moderate
walking,61.358000000000004,2022-01-22,1300.8521684284249,moderate
walking,249.928,2022-01-22,21.534237872735424,hard
HIIT,193.38,2022-01-23,4.066286213743134,hard
walking,117.138,2022-01-23,3655.391648950671,moderate
walking,50.202000000000005,2022-01-23,1327.7876608187269,moderate
walking,52.991,2022-01-24,1338.8926138130332,moderate
walking,290.095,2022-01-24,5571.298641861769,hard
walking,263.317,2022-01-25,5397.494078468376,hard
walking,50.202000000000005,2022-01-27,1385.3304444617536,moderate
walking,55.78,2022-01-27,2723.8208267183336,moderate
walking,205.298,2022-01-28,4537.705124595999,hard
walking,89.26,2022-01-28,1844.2523566863574,hard
HIIT,193.38,2022-01-29,0.0,hard
walking,303.484,2022-01-30,6548.65891566038,hard
walking,303.484,2022-01-31,6465.563637790703,hard
strengthTraining,47.604,2022-01-31,74.24753656936947,moderate
walking,41.835,2022-01-31,506.6284770310261,moderate
walking,294.558,2022-02-03,6424.01670595576,hard
walking,52.991,2022-02-03,1530.7945285901437,moderate
walking,303.484,2022-02-04,6774.7439217729025,hard
strengthTraining,67.43900000000001,2022-02-04,0.0,moderate
houseWork,57.504,2022-02-05,132.52767754794016,moderate
walking,33.468,2022-02-05,1006.8846954983575,moderate
walking,245.465,2022-02-05,5359.66769435243,hard
walking,254.391,2022-02-06,5163.999972462297,hard
walking,92.037,2022-02-06,1684.6072884865296,moderate
strengthTraining,267.78000000000003,2022-02-08,140.04704195414124,hard
walking,55.78,2022-02-08,990.9971202710923,moderate
walking,285.632,2022-02-09,6464.137428042244,hard
walking,69.72500000000001,2022-02-09,564.3440299646363,moderate
running,346.206,2022-02-10,150.55804550644888,moderate
stretching,11.904,2022-02-10,24.60863664772995,hard
walking,39.046,2022-02-10,788.0818167235673,moderate
walking,58.569,2022-02-11,837.5091845017228,moderate
cycling,357.0,2022-02-12,138.51110143249187,moderate
walking,27.89,2022-02-12,869.9907518735802,moderate
walking,58.569,2022-02-14,1391.6250102141098,moderate
cycling,357.0,2022-02-14,61.292136506919704,moderate
strengthTraining,299.021,2022-02-15,91.99064583657726,hard
walking,39.046,2022-02-15,969.0448808214973,moderate
walking,61.358000000000004,2022-02-15,1553.8791565268787,moderate
running,387.421,2022-02-17,63.45372608581907,moderate
stretching,15.872,2022-02-17,7.977370471910449,hard
walking,47.413000000000004,2022-02-17,1158.4725843925066,moderate
walking,47.413000000000004,2022-02-18,1439.0292336560487,moderate
cycling,357.0,2022-02-18,84.78928098534558,moderate
walking,33.468,2022-02-18,907.9880672798608,moderate
walking,39.046,2022-02-19,999.8181832293357,moderate
walking,187.446,2022-02-20,4132.358771873852,hard
walking,139.45000000000002,2022-02-20,3194.878539633688,moderate
walking,86.459,2022-02-20,1857.0440752721295,moderate
walking,956.6270000000001,2022-02-23,1376.126335254534,moderate
walking,41.835,2022-02-24,981.5510827517136,moderate
walking,27.89,2022-02-24,,moderate
walking,299.021,2022-02-27,5732.096149293339,hard
houseWork,179.7,2022-02-28,51.750870855454274,moderate
houseWork,107.82,2022-02-28,43.592570271240156,moderate
cycling,357.0,2022-02-28,155.38144061839006,moderate
walking,83.67,2022-02-28,1543.890800402857,moderate
walking,117.138,2022-03-01,3385.5195813467917,moderate
walking,50.202000000000005,2022-03-01,1448.9714588080285,moderate
walking,61.358000000000004,2022-03-01,1765.644083443101,moderate
strengthTraining,267.78000000000003,2022-03-02,163.39803114960137,hard
walking,44.624,2022-03-02,1030.6920910032434,moderate
walking,86.459,2022-03-02,1415.3946405108707,moderate
walking,290.095,2022-03-03,6406.821574553404,hard
walking,52.991,2022-03-04,1478.297609187958,moderate
walking,39.046,2022-03-04,1085.3942797070338,moderate
walking,16.734,2022-03-04,379.2084504062058,moderate
strengthTraining,227.613,2022-03-05,230.4636688800865,hard
walking,36.257000000000005,2022-03-05,967.3996117960645,moderate
walking,36.257000000000005,2022-03-05,380.2990320427199,moderate
walking,165.131,2022-03-06,3368.033619128282,hard
walking,174.05700000000002,2022-03-06,3226.9888788955636,hard
walking,290.095,2022-03-07,6396.4075063347445,hard
strengthTraining,267.78000000000003,2022-03-08,218.21537513863498,hard
walking,80.881,2022-03-08,1139.7781941443122,moderate
houseWork,161.73,2022-03-09,0.0,moderate
walking,258.854,2022-03-09,5385.657077746255,hard
walking,78.092,2022-03-10,1813.1687541939154,moderate
strengthTraining,245.465,2022-03-10,197.16463176113078,hard
walking,299.021,2022-03-12,6325.978637373527,hard
walking,61.358000000000004,2022-03-12,1398.9051054950714,moderate
walking,92.037,2022-03-13,2592.8492228598325,moderate
walking,89.248,2022-03-13,2688.633934996721,moderate
walking,27.89,2022-03-13,767.6693102393295,moderate
walking,36.257000000000005,2022-03-13,790.2594678192213,moderate
strengthTraining,343.651,2022-03-14,189.44373939723033,hard
walking,44.624,2022-03-14,1033.4008999698476,moderate
walking,80.881,2022-03-14,1424.13320300988,moderate
walking,253.799,2022-03-14,1835.1816323593566,moderate
